"SCHEMA_NAME","DIGEST","DIGEST_TEXT","COUNT_STAR","SUM_TIMER_WAIT","MIN_TIMER_WAIT","AVG_TIMER_WAIT","MAX_TIMER_WAIT","SUM_LOCK_TIME","SUM_ERRORS","SUM_WARNINGS","SUM_ROWS_AFFECTED","SUM_ROWS_SENT","SUM_ROWS_EXAMINED","SUM_CREATED_TMP_DISK_TABLES","SUM_CREATED_TMP_TABLES","SUM_SELECT_FULL_JOIN","SUM_SELECT_FULL_RANGE_JOIN","SUM_SELECT_RANGE","SUM_SELECT_RANGE_CHECK","SUM_SELECT_SCAN","SUM_SORT_MERGE_PASSES","SUM_SORT_RANGE","SUM_SORT_ROWS","SUM_SORT_SCAN","SUM_NO_INDEX_USED","SUM_NO_GOOD_INDEX_USED","FIRST_SEEN","LAST_SEEN"
diamante_edi,dab0f7206e0d073cd14d1d5647970291,SHOW FIELDS FROM `TP_Talleres` ,18,4573253000,231252000,254069000,284060000,0,0,0,0,180,180,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"8ba2d34f06ab4bc22b8a19577e13533d",SELECT SQL_NO_CACHE * FROM `TP_Talleres` ,9,1585740000,139490000,176193000,435575000,0,0,9,0,63,63,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,a29473520036be877bf56bac3d59189b,SHOW CREATE TABLE `TP_TemasPropuestos` ,9,615794000,62692000,68421000,86363000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,ec4c5d60bb46698ae1d67d8b0c613937,SHOW FIELDS FROM `TP_TemasPropuestos` ,18,4128940000,215211000,229385000,264548000,0,0,0,0,108,108,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,f916a599934dc8e2fd838eda3fd133e2,SELECT SQL_NO_CACHE * FROM `TP_TemasPropuestos` ,9,1337822000,103509000,148646000,434324000,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"6f61ff999c4161445a3bbd6f93cda5f6",SHOW CREATE TABLE `TP_TipoGrupo` ,9,582735000,58581000,64748000,71516000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,dd76a317011cdd4a5df8efb5a5055498,SHOW FIELDS FROM `TP_TipoGrupo` ,18,4003314000,196026000,222406000,257154000,0,0,0,0,54,54,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"6c02964d6b1b3889019c4c0c57156d9d",SELECT SQL_NO_CACHE * FROM `TP_TipoGrupo` ,9,911834000,82403000,101314000,113977000,0,0,9,0,54,54,0,0,0,0,0,0,9,0,0,0,0,9,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"02cded64d2c3a33cbc3dc8264fd7815b",SHOW CREATE TABLE `TP_TrabajodeGrado` ,9,633867000,64668000,70429000,77126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
diamante_edi,"06b2e06f348a15e2a70320f545009266",SHOW FIELDS FROM `TP_TrabajodeGrado` ,18,4833925000,237279000,268551000,314166000,0,0,0,0,270,270,18,18,0,0,0,0,18,0,0,0,0,18,0,"2024-10-24 13:34:49","2024-12-10 22:55:25"
